id,scripts,detailing
1,4,
1,3,1
1,12,1
1,3,1
1,6,2
1,5,1
1,2,0
1,5,2
1,1,2
1,5,1
1,3,1
1,1,2
1,3,2
1,1,2
1,2,2
1,0,1
1,4,4
1,6,2
1,1,0
1,2,2
1,2,1
1,2,2
1,6,3
1,3,2
2,5,
2,1,2
2,8,3
2,7,1
2,5,1
2,3,2
2,9,3
2,2,3
2,10,6
2,6,2
2,4,6
2,4,4
2,5,1
2,11,5
2,1,5
2,1,3
2,2,5
2,0,4
2,4,5
2,2,3
2,2,5
2,4,5
2,5,5
2,3,5
3,5,
3,10,1
3,9,2
3,6,0
3,6,3
3,5,2
3,9,0
3,5,1
3,11,2
3,6,1
3,2,3
3,7,2
3,12,2
3,11,1
3,6,3
3,10,4
3,7,3
3,8,2
3,8,0
3,8,2
3,8,3
3,2,4
3,12,5
3,2,5
4,8,
4,6,3
4,10,3
4,4,5
4,7,3
4,6,4
4,10,3
4,11,4
4,7,4
4,8,5
4,8,4
4,5,3
4,4,3
4,1,4
4,9,6
4,3,3
4,5,5
4,8,7
4,8,2
4,7,3
4,6,1
4,7,4
4,6,6
4,6,5
5,13,
5,5,0
5,13,0
5,8,0
5,12,0
5,10,0
5,14,0
5,3,0
5,13,0
5,20,0
5,9,0
5,12,0
5,19,0
5,15,0
5,15,2
5,3,0
5,6,3
5,3,2
5,7,1
5,0,3
5,9,3
5,9,3
5,11,3
5,6,3
6,4,
6,5,1
6,2,2
6,3,2
6,5,2
6,6,2
6,12,4
6,8,2
6,9,2
6,10,3
6,7,6
6,10,2
6,7,3
6,2,1
6,2,2
6,4,1
6,6,2
6,4,5
6,9,2
6,4,1
6,1,2
6,3,3
6,2,3
6,4,2
7,0,
7,0,2
7,0,0
7,0,1
7,0,1
7,0,3
7,0,1
7,0,1
7,0,2
7,0,3
7,0,0
7,0,1
7,0,1
7,0,0
7,2,0
7,0,0
7,0,0
7,0,0
7,0,0
7,2,1
7,0,1
7,0,3
7,0,4
7,0,5
8,9,
8,7,1
8,3,1
8,10,3
8,3,1
8,6,0
8,2,1
8,5,2
8,7,2
8,2,1
8,9,2
8,2,1
8,5,2
8,6,1
8,3,2
8,8,0
8,4,1
8,3,1
8,3,1
8,5,2
8,3,1
8,2,1
8,4,3
8,6,2
9,4,
9,6,4
9,7,3
9,9,2
9,12,2
9,10,3
9,25,1
9,17,7
9,13,6
9,22,7
9,15,8
9,14,4
9,10,8
9,12,6
9,13,9
9,15,3
9,7,9
9,11,6
9,12,5
9,12,9
9,10,8
9,14,14
9,4,8
9,3,5
10,2,
10,0,0
10,0,1
10,2,1
10,1,1
10,6,1
10,4,1
10,2,4
10,5,2
10,1,2
10,2,2
10,0,1
10,3,0
10,1,0
10,2,0
10,2,2
10,2,1
10,1,2
10,1,1
10,1,3
10,6,2
10,2,2
10,3,2
10,2,2
11,7,
11,7,5
11,6,3
11,12,3
11,7,5
11,5,4
11,6,3
11,15,5
11,7,2
11,11,3
11,14,4
11,9,4
11,12,4
11,5,4
11,14,3
11,9,2
11,6,4
11,3,2
11,7,3
11,8,3
11,6,3
11,4,5
11,1,5
11,1,3
12,4,
12,0,3
12,1,1
12,0,1
12,0,2
12,2,1
12,0,2
12,0,1
12,3,3
12,4,1
12,1,1
12,2,1
12,0,1
12,0,1
12,0,3
12,2,1
12,0,1
12,3,2
12,1,2
12,2,2
12,4,1
12,3,4
12,2,2
12,1,1
13,7,
13,6,3
13,3,0
13,6,1
13,3,0
13,3,2
13,7,3
13,7,3
13,5,1
13,7,4
13,4,7
13,4,5
13,5,4
13,4,2
13,3,2
13,6,2
13,5,4
13,3,1
13,3,3
13,2,3
13,6,7
13,5,4
13,7,9
13,5,9
14,7,
14,8,3
14,0,1
14,3,1
14,6,2
14,4,1
14,4,2
14,8,2
14,4,1
14,8,1
14,10,2
14,3,2
14,2,3
14,5,2
14,2,1
14,0,0
14,7,0
14,1,0
14,1,0
14,2,0
14,2,0
14,0,0
14,2,0
14,0,0
15,1,
15,5,2
15,4,2
15,1,2
15,1,2
15,5,2
15,4,1
15,2,1
15,5,1
15,6,2
15,9,2
15,6,1
15,4,2
15,6,4
15,9,3
15,5,3
15,3,4
15,1,4
15,5,3
15,5,0
15,2,2
15,7,2
15,5,2
15,5,3
16,0,
16,2,0
16,0,0
16,1,0
16,3,0
16,3,2
16,1,1
16,0,1
16,2,1
16,0,2
16,1,1
16,1,3
16,1,3
16,0,1
16,0,0
16,0,0
16,0,0
16,0,0
16,2,1
16,1,1
16,0,1
16,1,2
16,2,1
16,1,1
17,1,
17,1,2
17,0,1
17,0,1
17,1,0
17,0,1
17,1,0
17,0,0
17,0,0
17,3,0
17,1,0
17,8,1
17,3,0
17,3,0
17,4,0
17,0,0
17,1,0
17,0,0
17,1,0
17,2,0
17,1,0
17,2,0
17,1,0
17,1,0
18,1,
18,5,3
18,0,4
18,5,6
18,0,3
18,6,4
18,2,3
18,3,5
18,6,4
18,3,5
18,0,5
18,5,6
18,0,5
18,6,4
18,5,5
18,2,5
18,2,4
18,8,3
18,12,3
18,18,4
18,12,3
18,10,3
18,6,3
18,10,7
19,8,
19,9,4
19,6,2
19,8,5
19,4,3
19,24,6
19,16,4
19,18,5
19,17,6
19,17,5
19,16,15
19,17,2
19,9,7
19,19,4
19,33,8
19,17,5
19,15,7
19,25,3
19,22,5
19,17,4
19,13,7
19,15,6
19,13,9
19,6,5
20,7,
20,5,1
20,6,2
20,7,2
20,8,2
20,7,2
20,3,2
20,3,4
20,7,4
20,13,3
20,6,2
20,6,2
20,6,3
20,10,2
20,1,4
20,7,3
20,11,4
20,5,3
20,9,3
20,8,7
20,5,4
20,3,5
20,5,6
20,7,2
21,2,
21,0,0
21,2,3
21,1,3
21,1,2
21,4,2
21,1,1
21,0,1
21,2,0
21,2,0
21,0,0
21,0,0
21,1,0
21,1,0
21,0,0
21,0,0
21,0,0
21,0,0
21,2,0
21,0,0
21,0,0
21,0,0
21,1,0
21,0,0
22,6,
22,0,0
22,3,3
22,0,5
22,0,5
22,0,3
22,0,3
22,0,3
22,0,7
22,0,5
22,5,3
22,3,5
22,6,3
22,8,0
22,2,3
22,0,4
22,6,1
22,0,5
22,3,4
22,0,5
22,2,4
22,6,2
22,0,5
22,0,5
23,1,
23,6,2
23,2,1
23,0,2
23,2,1
23,0,2
23,0,1
23,2,1
23,4,2
23,0,0
23,2,2
23,2,1
23,2,3
23,0,2
23,0,3
23,2,2
23,0,3
23,5,2
23,2,0
23,9,2
23,2,0
23,6,0
23,0,1
23,0,0
24,9,
24,4,1
24,0,2
24,0,1
24,0,0
24,9,0
24,3,0
24,0,0
24,0,0
24,0,0
24,0,0
24,19,0
24,35,0
24,57,0
24,0,0
24,10,0
24,0,0
24,0,0
24,0,0
24,0,0
24,0,0
24,0,0
24,0,0
24,0,0
25,5,
25,11,1
25,18,2
25,16,1
25,9,1
25,15,1
25,3,0
25,17,3
25,10,3
25,9,2
25,15,1
25,8,1
25,6,2
25,8,2
25,4,2
25,9,0
25,5,2
25,11,3
25,9,0
25,17,0
25,12,0
25,19,0
25,19,0
25,18,0
26,2,
26,1,0
26,2,1
26,0,1
26,2,0
26,4,2
26,0,1
26,0,0
26,0,3
26,7,1
26,0,0
26,4,3
26,5,2
26,5,2
26,7,3
26,11,2
26,5,3
26,5,1
26,4,2
26,7,4
26,0,5
26,4,6
26,3,3
26,3,6
27,1,
27,1,0
27,1,0
27,1,0
27,2,0
27,0,1
27,1,2
27,4,1
27,3,0
27,2,1
27,2,1
27,0,1
27,1,1
27,0,0
27,3,1
27,5,0
27,2,1
27,3,1
27,2,1
27,0,2
27,3,2
27,1,2
27,1,1
27,1,0
28,1,
28,1,0
28,0,0
28,1,0
28,1,0
28,1,0
28,0,0
28,0,0
28,0,0
28,1,0
28,0,1
28,0,1
28,1,1
28,2,0
28,3,0
28,2,1
28,0,0
28,1,0
28,3,2
28,0,0
28,1,0
28,3,0
28,6,0
28,4,0
29,5,
29,10,2
29,6,1
29,1,1
29,18,2
29,4,3
29,5,2
29,8,1
29,3,2
29,5,1
29,3,3
29,7,3
29,5,1
29,11,1
29,5,2
29,16,3
29,2,1
29,6,4
29,8,2
29,11,1
29,7,2
29,4,5
29,9,3
29,7,5
30,3,
30,5,3
30,6,3
30,10,3
30,3,2
30,4,5
30,7,5
30,9,3
30,3,7
30,7,3
30,8,4
30,4,8
30,8,1
30,11,6
30,7,3
30,11,4
30,4,2
30,2,5
30,3,3
30,13,4
30,4,4
30,7,6
30,5,4
30,4,3
31,7,
31,1,2
31,2,2
31,1,2
31,4,2
31,3,3
31,2,2
31,2,3
31,3,3
31,1,2
31,3,2
31,5,6
31,2,4
31,1,5
31,5,6
31,2,1
31,3,5
31,7,5
31,0,3
31,3,6
31,3,3
31,2,7
31,2,4
31,2,7
32,0,
32,7,3
32,0,0
32,3,1
32,1,3
32,5,2
32,6,3
32,1,1
32,0,4
32,4,4
32,5,5
32,6,3
32,3,2
32,2,2
32,2,3
32,5,5
32,1,3
32,2,3
32,0,1
32,4,4
32,2,3
32,8,1
32,3,0
32,3,0
33,9,
33,10,6
33,10,3
33,12,1
33,7,5
33,8,2
33,10,3
33,7,6
33,7,4
33,8,2
33,7,3
33,9,3
33,3,2
33,7,1
33,0,4
33,6,5
33,7,2
33,9,2
33,11,2
33,6,3
33,7,3
33,10,4
33,6,5
33,9,5
34,5,
34,7,3
34,6,1
34,0,1
34,3,4
34,7,3
34,0,1
34,1,0
34,4,0
34,2,4
34,0,0
34,2,5
34,2,1
34,2,1
34,0,3
34,1,1
34,3,2
34,2,2
34,2,1
34,3,1
34,2,1
34,2,2
34,0,1
34,5,2
35,5,
35,1,0
35,7,0
35,0,0
35,0,0
35,1,0
35,4,0
35,0,0
35,2,2
35,9,3
35,5,3
35,2,2
35,3,2
35,4,2
35,3,3
35,6,4
35,6,4
35,6,4
35,5,5
35,6,5
35,0,3
35,8,2
35,1,4
35,10,3
36,1,
36,3,1
36,3,1
36,1,2
36,0,3
36,2,1
36,8,0
36,5,1
36,4,1
36,2,1
36,2,3
36,8,2
36,2,1
36,2,1
36,4,0
36,0,3
36,3,2
36,4,0
36,9,0
36,2,0
36,0,0
36,2,0
36,1,0
36,4,0
37,3,
37,2,0
37,3,2
37,1,0
37,4,1
37,6,1
37,2,1
37,5,1
37,6,1
37,2,1
37,7,1
37,5,1
37,5,1
37,2,1
37,4,0
37,2,0
37,1,0
37,2,0
37,4,0
37,5,1
37,2,1
37,3,1
37,4,0
37,6,1
38,4,
38,4,1
38,5,0
38,0,1
38,0,2
38,0,1
38,0,1
38,0,1
38,0,1
38,1,1
38,0,1
38,0,2
38,0,0
38,0,0
38,0,2
38,0,1
38,0,1
38,0,1
38,0,2
38,0,1
38,0,5
38,0,2
38,4,3
38,0,4
39,2,
39,7,2
39,2,2
39,3,2
39,2,2
39,2,2
39,2,1
39,3,2
39,2,2
39,7,2
39,1,2
39,1,3
39,4,3
39,1,2
39,3,2
39,1,2
39,4,4
39,3,3
39,3,2
39,2,3
39,1,4
39,2,6
39,2,3
39,3,2
40,2,
40,1,2
40,2,2
40,0,2
40,3,1
40,1,3
40,2,2
40,0,3
40,0,3
40,0,2
40,5,2
40,4,2
40,2,2
40,3,2
40,6,2
40,0,2
40,0,4
40,2,4
40,3,3
40,0,3
40,1,3
40,2,2
40,5,2
40,0,4
41,28,
41,30,3
41,19,4
41,23,3
41,11,1
41,18,2
41,26,3
41,22,4
41,15,3
41,24,3
41,10,1
41,21,4
41,20,1
41,14,3
41,22,2
41,18,3
41,15,3
41,20,1
41,18,2
41,21,4
41,17,0
41,13,1
41,16,3
41,18,2
42,3,
42,5,2
42,1,2
42,1,4
42,0,2
42,3,4
42,1,6
42,5,6
42,3,4
42,6,2
42,2,3
42,2,2
42,2,3
42,5,1
42,2,2
42,3,4
42,3,5
42,0,3
42,1,2
42,3,7
42,1,4
42,3,4
42,1,6
42,3,4
43,1,
43,1,1
43,3,0
43,5,0
43,2,0
43,0,1
43,3,2
43,8,1
43,2,2
43,2,2
43,2,3
43,5,2
43,4,1
43,4,0
43,1,3
43,3,3
43,2,0
43,2,3
43,0,3
43,4,1
43,2,1
43,2,1
43,3,2
43,2,3
44,4,
44,4,1
44,5,2
44,1,2
44,2,2
44,1,1
44,1,2
44,0,2
44,3,0
44,1,3
44,0,2
44,2,1
44,1,0
44,0,0
44,4,2
44,0,1
44,1,3
44,1,2
44,1,2
44,0,1
44,1,2
44,4,1
44,4,1
44,2,1
45,1,
45,2,3
45,1,1
45,2,2
45,0,2
45,1,2
45,1,2
45,0,2
45,0,2
45,4,2
45,1,5
45,1,6
45,1,5
45,0,3
45,0,2
45,1,2
45,3,2
45,1,2
45,0,3
45,0,1
45,1,2
45,2,1
45,5,3
45,3,2
46,3,
46,1,1
